FantraxName,FantraxTeam,FantraxPosition,FantraxPlayerId,FangraphsName,FangraphsTeam,FangraphsPosition,FangraphsPlayerId
Jawuan Harris,(N/A),OF,*04psh*,,,,
Donnie Hart,(N/A),RP,*043tq*,,,,
Thomas Hart,STL,P,*051ck*,,,,
Ryan Hartman,(N/A),SP,*04amq*,,,,
Joe Harvey,ATL,RP,*03drl*,,,,
Josh Hatcher,TEX,OF,*066d0*,,,,
Marcus Hatley,STL,RP,*03av6*,,,,
Buddy Hayward,PHI,RP,*05r5j*,,,,
Dillon Head,(N/A),OF,*066nq*,,,,
Tucker Healy,OAK,P,*02ncq*,,,,
Slade Heathcott,(N/A),OF,*01sdt*,,,,
Josh Heddinger,DET,P,*03do9*,,,,
Zach Hedges,CHC,SP,*04ajy*,,,,
Gunnar Heidt,TOR,2B,*03dn1*,,,,
Dominic Hellman,(N/A),SS,*05ub7*,,,,
Josh Hendrickson,KC,SP,*04q2c*,,,,
Yonatan Henriquez,NYM,3B,*064o9*,,,,
Rob Hensey,CIN,SP,*066ct*,,,,
Leonardo Heras,HOU,OF,*03733*,,,,
Lucas Herbert,ATL,C,*03pou*,,,,
Alexis Hernandez,BOS,1B,*060pa*,,,,
Ariel Hernandez,(N/A),RP,*046tc*,,,,
Arnaldo Hernandez,MIL,SP,*03zlc*,,,,
Eddie Hernandez,ARI,2B,*04o3a*,,,,
Felix Hernandez,(N/A),SP,*000r4*,,,,
Francisco Hernandez,STL,3B,*052c6*,,,,
Jakob Hernandez,PHI,RP,*04ess*,,,,
Luigi Hernandez,(N/A),SP,*060o8*,,,,
Oscar Hernandez,(N/A),C,*027gw*,,,,
Pedro Hernandez,CLE,SS,*064wa*,,,,
Roither Hernandez,(N/A),SP,*05r3n*,,,,
Sandry Hernandez,COL,OF,*060pz*,,,,
Carlos Herrera,COL,SS,*039p4*,,,,
Dilson Herrera,(N/A),2B,*025fm*,,,,
Eduardo Herrera,KC,RP,*059zp*,,,,
Kelvin Herrera,(N/A),RP,*01slh*,,,,
Rafael Herrera,CHC,OF,*05gtj*,,,,
Travis Herrin,LAA,P,*03qv5*,,,,
Marty Herum,ARI,3B,*03d01*,,,,
Jeury Hiciano,TOR,RP,*05nsz*,,,,
Renny Hidalgo,MIA,OF,*0639y*,,,,
Blake Higgins,STL,P,*0318d*,,,,
Scooter Hightower,PIT,P,*03qsp*,,,,
Kyle Hill,SEA,P,*0517r*,,,,
Logan Hill,PIT,OF,*03r09*,,,,
Taylor Hill,SF,RP,*02buu*,,,,
Mike Hinckley,(N/A),RP,*013uf*,,,,
Gage Hinsz,(N/A),SP,*03dj4*,,,,
Grayson Hitt,(N/A),SP,*05jqe*,,,,
Chad Hockin,CHC,P,*041st*,,,,
Grant Hockin,CLE,P,*03d7f*,,,,
Shane Hoelscher,COL,3B,*03dq2*,,,,
Aaron Holiday,SD,SP,*061tm*,,,,
Greg Holle,MIL,P,*02hkw*,,,,
David Hollie,KC,OF,*04xgz*,,,,
Clinton Hollon,TOR,P,*02k1a*,,,,
Brock Holt,(N/A),3B,*021qc*,,,,
Owen Holt,CIN,SP,*05yo4*,,,,
Blake Holub,(N/A),"1B,P",*05yl4*,,,,
Destin Hood,(N/A),OF,*01sh1*,,,,
Kevin Hooper,HOU,2B,*004i3*,,,,
Connor Hoover,SEA,"2B,SS",*04et1*,,,,
Carter Hope,KC,P,*031at*,,,,
Bryson Horne,ATL,1B,*05r56*,,,,
Reilly Hovis,MIA,P,*03qo4*,,,,
Ryan Howard,(N/A),SS,*043f5*,,,,
Dondrei Hubbard,WSH,C,*0618c*,,,,
Joe Hudson,ATL,C,*02mzt*,,,,
Orlando Hudson,(N/A),2B,*000k5*,,,,
Zach Huffins,TB,OF,*051a7*,,,,
Eiker Huizi,DET,SP,*05ue8*,,,,
Danny Hultzen,(N/A),SP,*0275u*,,,,
Shooter Hunt,MIN,SP,*01s8x*,,,,
Jason Hursh,(N/A),RP,*02hi8*,,,,
Daniel Hurtado,LAA,SP,*02x0e*,,,,
Bryce Hutchinson,(N/A),SP,*04em7*,,,,
Ryota Igarashi,NYY,RP,*01olv*,,,,
Cristian Inoa,TEX,2B,*04c3b*,,,,
Chris Iriart,OAK,1B,*03qqj*,,,,
Dusty Isaacs,TOR,P,*03dqk*,,,,
Austin Jackson,(N/A),OF,*01c1o*,,,,
Bralin Jackson,TB,OF,*02mzj*,,,,
Brett Jackson,SF,OF,*01sb6*,,,,
Jhalan Jackson,NYY,OF,*03qmq*,,,,
David Jacob,TOR,1B,*04ajr*,,,,
Jiwan James,PHI,OF,*01srq*,,,,
Michael James,COL,SS,*057yb*,,,,
Steve Janas,ATL,P,*0312a*,,,,
Mason Janvrin,BAL,OF,*051an*,,,,
Jesus Jaquez,STL,RP,*04yr5*,,,,
Nathanael Javier,SF,"1B,3B",*02uwf*,,,,
Myles Jaye,(N/A),RP,*02hp4*,,,,
Ronnie Jebavy,SF,OF,*03qlg*,,,,
Bobby Jenks,(N/A),RP,*0005q*,,,,
Chase Jensen,SD,3B,*03768*,,,,
Williams Jerez,(N/A),RP,*02br4*,,,,
Brody Jessee,CIN,SP,*0657g*,,,,
Alfredi Jimenez,HOU,SP,*04ziu*,,,,
Cesar Jimenez,ARI,SP,*066qv*,,,,
Emerson Jimenez,COL,SS,*03alp*,,,,
Federik Jimenez,SEA,SP,*066r2*,,,,
Humberto Jimenez,TB,RP,*05r5u*,,,,
Manolfi Jimenez,PHI,OF,*064os*,,,,
Jake Johansen,(N/A),P,*0311j*,,,,
Yorfran John,CLE,SS,*060yq*,,,,
Cobi Johnson,TOR,RP,*04yac*,,,,
Elliot Johnson,LAD,OF,*0056p*,,,,
Tyler Johnson,DET,1B,*0665j*,,,,
Adam Jones,(N/A),OF,*000lh*,,,,
Andrew Jones,BOS,P,*02c43*,,,,
Austin Jones,NYY,1B,*02bvd*,,,,
Cal Jones,KC,OF,*041t4*,,,,
Grayson Jones,ATL,P,*03do7*,,,,
Jordan Jones,CLE,SP,*051cn*,,,,
Nathan Jones,NYM,P,*05149*,,,,
Ryder Jones,(N/A),3B,*0311d*,,,,
Levi Jordan,CHC,"2B,3B",*061w0*,,,,
Felix Jorge,(N/A),SP,*02yn6*,,,,
Corban Joseph,(N/A),2B,*01shs*,,,,
Jimmy Joyce,SEA,SP,*066sr*,,,,
Raul Juarez,CIN,3B,*04c0u*,,,,
Gage Jump,(N/A),SP,*05t9g*,,,,
Maycol Justo,(N/A),SS,*05xsr*,,,,
Connor Justus,(N/A),SS,*041s1*,,,,
Ian Kahaloa,CIN,P,*03ql9*,,,,
Ryan Kalish,(N/A),OF,*01fcn*,,,,
Jung Ho Kang,MIL,3B,*03k3p*,,,,
Mark Karaviotis,ARI,SS,*0421x*,,,,
Alec Keller,WSH,OF,*03dq9*,,,,
Jackson Kelley,(N/A),SP,*066lv*,,,,
Jack Kenley,(N/A),"2B,SS",*05168*,,,,
Jimmy Kerr,DET,1B,*05j4y*,,,,
Kevin Keyes,WSH,OF,*01uwi*,,,,
Jin-Young Kim,CHC,RP,*03aaw*,,,,
Cole Kimball,NYY,RP,*026ha*,,,,
Jared King,NYM,OF,*0345p*,,,,
Nick Kingham,(N/A),SP,*027vq*,,,,
Cole Kirschsieper,MIA,SP,*064n9*,,,,
Tanner Kirwer,TOR,OF,*04ese*,,,,
Jeremy Kivel,CIN,P,*02n2m*,,,,
Kotaro Kiyomiya,(N/A),1B,*04n0l*,,,,
Ricky Knapp,NYM,P,*0316z*,,,,
Malakhi Knight,(N/A),OF,*05rce*,,,,
Scott Kobos,CHC,RP,*05xai*,,,,
Matt Koch,SEA,SP,*02bzh*,,,,
Chris Kohler,OAK,P,*031ap*,,,,
Jared Kollar,SD,SP,*066a9*,,,,
Chang-mo Koo,(N/A),SP,*05m68*,,,,
Austin Kubitza,DET,SP,*02hin*,,,,
Kyle Kubitza,ATL,3B,*02brs*,,,,
John Lackey,(N/A),SP,*000hy*,,,,
Jonathan Lacroix,HOU,OF,*04em4*,,,,
Rollie Lacy,TB,P,*04ekz*,,,,
Wagner Lagrange,(N/A),OF,*04ydg*,,,,
Andrew Lambo,(N/A),OF,*01cg6*,,,,
Dutch Landis,SEA,P,*051da*,,,,
Nathan Landry,BOS,SP,*066jt*,,,,
Dan Langfield,CIN,P,*02mxo*,,,,
Chris Lanzilli,CHW,OF,*06644*,,,,
Sauryn Lao,LAD,1B,*045ok*,,,,
Jordy Lara,SEA,"1B,3B",*03cbd*,,,,
Junior Lara,(N/A),OF,*05xyt*,,,,
Ryan Lasko,(N/A),OF,*06248*,,,,
Colton Laws,TOR,P,*04ein*,,,,
Josh Laxer,DET,P,*02c6g*,,,,
Francisco Laya,TEX,OF,*06306*,,,,
Wade LeBlanc,(N/A),SP,*013v1*,,,,
Erick Leal,ARI,SP,*02yor*,,,,
Ian Leatherman,TB,RP,*060p9*,,,,
Jack Leathersich,TEX,RP,*02btt*,,,,
Jackxarel Lebron,TOR,P,*051ce*,,,,
Rubel Lebron,PIT,SS,*05y42*,,,,
Luis Ledo,LAA,RP,*05y09*,,,,
Chris Lee,(N/A),RP,*02bsu*,,,,
Dae-Ho Lee,SEA,1B,*03xu9*,,,,
Connor Lehmann,SD,P,*0515m*,,,,
Keiner Leon,(N/A),RP,*060od*,,,,
Patrick Leonard,TB,"3B,SS",*02bto*,,,,
Roger Leyton,KC,OF,*05no1*,,,,
Lazaro Leyva,BAL,SP,*03nfv*,,,,
Connor Lien,SEA,OF,*02n3x*,,,,
Jonathan Linares,LAA,C,*066rz*,,,,
Ramon Linares,ATL,RP,*05nsx*,,,,
Jacob Lindgren,(N/A),RP,*02bz5*,,,,
Taylor Lindsey,SD,2B,*025eu*,,,,
Matt Lipka,(N/A),OF,*01vxl*,,,,
Deacon Liput,LAD,2B,*04pub*,,,,
Corey Littrell,STL,P,*031b7*,,,,
Matt Litwicki,BOS,RP,*05yap*,,,,
Bryan Lizardo,TOR,3B,*03b3i*,,,,
Yeancarlos Lleras,BAL,P,*04prv*,,,,
Nicholas Lockhart,TEX,P,*0518f*,,,,
Carter Loewen,SD,RP,*05r5g*,,,,
Ryan Lollis,SF,OF,*02hz1*,,,,
Nolan Long,(N/A),RP,*03qsy*,,,,
Mitch Longo,(N/A),OF,*041y8*,,,,
Darcy Longstaff,CIN,RP,*067x2*,,,,
Sicnarf Loopstok,(N/A),C,*031dq*,,,,
Christian Lopes,(N/A),SS,*02bvn*,,,,
Franklin Lopez,COL,C,*066rx*,,,,
Jesus Lopez,TEX,C,*066op*,,,,
Joshua Lopez,STL,C,*03ava*,,,,
Yoeli Lopez,ATL,OF,*04mtl*,,,,
Barrett Loseke,NYY,P,*04q0b*,,,,
Blake Loubier,BOS,P,*051ac*,,,,
Barret Loux,TEX,SP,*02524*,,,,
Kieran Lovegrove,CLE,RP,*02mxp*,,,,
Thaddius Lowry,CHW,P,*031bd*,,,,
Josh Lucas,(N/A),RP,*04jyd*,,,,
Jonathan Lucroy,(N/A),C,*01nxl*,,,,
Audry Lugo,TB,RP,*05h7k*,,,,
Dawel Lugo,(N/A),3B,*02i3h*,,,,
Jesus Lugo,SD,SP,*052ik*,,,,
Carlos Luis,SD,SS,*04c0w*,,,,
Brennon Lund,(N/A),OF,*041w6*,,,,
Connor Lunn,STL,P,*05185*,,,,
Jared Lyons,CIN,SP,*066le*,,,,
Tyler Lyons,NYY,RP,*02haz*,,,,
Nick MCLAIN,(N/A),1B,*05yis*,,,,
STEVEN MILAM,(N/A),SS,*05yek*,,,,
Carlos Machado,HOU,OF,*03wli*,,,,
Julio Machado,MIA,SS,*04o0c*,,,,
Lester Madden,OAK,OF,*05096*,,,,
Will Maddox,DET,"1B,3B",*03dqq*,,,,
Michael Mader,MIA,SP,*03fhz*,,,,
Ben Madison,SF,P,*04ptu*,,,,
Reynaldo Madrigal,(N/A),OF,*05xtv*,,,,
Jediael Maduro,SF,OF,*062ze*,,,,
Kazuhisa Makita,SD,RP,*04mlc*,,,,
Kelvin Maldonado,CHW,"2B,SS",*04pvi*,,,,
Franly Mallen,MIL,SS,*03arz*,,,,
Alex Manasa,PIT,P,*04el9*,,,,
Junior Manon,LAA,2B,*062o9*,,,,
Connor Marabell,(N/A),OF,*03qzu*,,,,
Jose Marcano,(N/A),2B,*05rzf*,,,,
Naysbel Marcano,BOS,C,*066j3*,,,,
Ramon Marcelino,COL,OF,*04mhh*,,,,
Adrian Marin,BAL,"SS,OF",*02mw4*,,,,
Eric Marinez,OAK,SS,*059zs*,,,,
Parker Markel,CHW,RP,*02i3q*,,,,
Jose Marmolejos,(N/A),"1B,OF",*03c7p*,,,,
Emilio Marquez,KC,RP,*05u1r*,,,,
Deven Marrero,(N/A),3B,*02hev*,,,,
Justin Marsden,TB,P,*03qxy*,,,,
Shane Marshall,CHC,C,*0657y*,,,,
Hamlet Marte,LAD,C,*03mwz*,,,,
Daniel Martin,STL,2B,*03qz0*,,,,
Dustin Martin,MIN,OF,*021tf*,,,,
Garrett Martin,BAL,3B,*04q4k*,,,,
Josh Martin,CLE,P,*02n2n*,,,,
Leonys Martin,(N/A),OF,*026l3*,,,,
Russell Martin,(N/A),C,*00007*,,,,
Walker Martin,(N/A),SS,*066t4*,,,,
Aaron Martinez,(N/A),SP,*05y6o*,,,,
Alex Martinez,LAA,SP,*05y4l*,,,,
Carlos Martinez,(N/A),C,*05r0k*,,,,
Daniel Martinez,OAK,P,*04q3u*,,,,
Dawry Martinez,WSH,2B,*05rjp*,,,,
Denny Martinez,PHI,SP,*04a79*,,,,
Edgar Martinez,ARI,RP,*04cua*,,,,
Francis Martinez,ARI,"1B,OF",*03bub*,,,,
Henry Martinez,SD,SP,*0657u*,,,,
Jeremy Martinez,STL,C,*02j6z*,,,,
Jose Martinez,LAD,SP,*05r3h*,,,,
Rodolfo Martinez,(N/A),SP,*03mon*,,,,
Victor Mascai,HOU,1B,*04tk2*,,,,
Trey Masek,CHC,P,*03122*,,,,
Jean-Christophe Masson,TOR,OF,*056ay*,,,,
Luis Mateo,NYM,SP,*02nei*,,,,
Tate Matheny,(N/A),OF,*02ncw*,,,,
John Matthews,TEX,P,*0516a*,,,,
Zack Matthews,HOU,RP,*05oh8*,,,,
Joey Matulovich,MIL,P,*04q1v*,,,,
Yunesky Maya,LAA,SP,*01zvq*,,,,
Whit Mayberry,DET,P,*03dth*,,,,
Yomil Maysonet,CIN,P,*04prr*,,,,
LJ Mazzilli,MIN,2B,*02n25*,,,,
Quincy McAfee,(N/A),SS,*060qb*,,,,
Kevin McCarthy,(N/A),RP,*031ek*,,,,
Ryan McCarty,TOR,SS,*0669q*,,,,
Terry McClure,SEA,OF,*0312j*,,,,
Jared McDonald,OAK,C,*051f0*,,,,
Mickey McDonald,(N/A),"OF,P",*04eqf*,,,,
Ashton McGee,MIL,"2B,OF",*051dk*,,,,
Garrett McGowan,HOU,1B,*066dp*,,,,
Dan McGrath,(N/A),SP,*02i2f*,,,,
Kyle McGrath,(N/A),RP,*040y0*,,,,
Chris McGuiness,PHI,1B,*021tv*,,,,
Ryan McKay,MIA,P,*03qpn*,,,,
Ian McKinney,(N/A),RP,*0316o*,,,,
J.D. McLaughlin,DET,OF,*05yhs*,,,,
Mark McLaughlin,CHW,SP,*0657a*,,,,
Pearson McMahan,COL,P,*0422o*,,,,
James McMahon,COL,P,*03qza*,,,,
Shaine McNeely,NYY,P,*051cq*,,,,
Yoel Mecias,PHI,SP,*030xe*,,,,
Javier Medina,COL,P,*03qk0*,,,,
Michael Medina,LAD,"1B,OF",*03aus*,,,,
Lesther Medrano,LAD,RP,*05iyr*,,,,
Ryan Meisinger,CIN,RP,*03qpx*,,,,
Domingo Mejia,MIL,SP,*05vy7*,,,,
Ian Mejia,ATL,SP,*06585*,,,,
Seth Mejias-Brean,(N/A),3B,*02n19*,,,,
Anderson Melendez,MIL,OF,*04c0n*,,,,
Yeison Melo,KC,OF,*04atx*,,,,
Alberto Mendez,CLE,SS,*060yp*,,,,
Alberto Mendez,CLE,SS,*064ob*,,,,
Jesus Mendez,CHW,SP,*066r4*,,,,
Jose Mendez,BOS,SS,*062l2*,,,,
Juan Mendez,PHI,C,*04hyb*,,,,
Romel Mendez,PHI,OF,*064oj*,,,,
Teofilo Mendez,ARI,SS,*04z92*,,,,
Brayan Mendoza,TEX,SP,*05y66*,,,,
Dante Mendoza,CLE,P,*04em9*,,,,
Hector Mendoza,(N/A),RP,*04alk*,,,,
Jose Mendoza,CHW,SP,*066o5*,,,,
Joseph Menefee,CIN,SP,*066fu*,,,,
Jeffrey Mercedes,CLE,SS,*062zi*,,,,
Nick Merkel,MIL,SP,*0668h*,,,,
Josh Merrigan,TEX,OF,*041vy*,,,,
Ryan Merritt,(N/A),RP,*02c2j*,,,,
Devin Mesoraco,NYM,C,*01sv0*,,,,
Dan Metzdorf,CHW,P,*0513v*,,,,
Ryan Middendorf,MIL,SP,*066cb*,,,,
Jiovanni Mier,HOU,SS,*01sbj*,,,,
Kevin Milam,NYY,"2B,P",*051ah*,,,,
Santiago Millan,(N/A),OF,*062zs*,,,,
Andrew Miller,(N/A),RP,*000gm*,,,,
Andrew Miller,TB,OF,*04ge3*,,,,
Blake Miller,SF,"1B,3B",*0376q*,,,,
Kyle Miller,CHC,P,*03qvi*,,,,
Jordan Mills,HOU,SP,*033m2*,,,,
Daniel Minor,HOU,P,*02n20*,,,,
Kevin Miranda,TOR,SP,*066rh*,,,,
Kevonte Mitchell,(N/A),"3B,OF",*03dn3*,,,,
Chase Mobley,(N/A),SP,*05uc1*,,,,
Jimmy Mojica,DET,OF,*04c0p*,,,,
Jeremy Molero,HOU,RP,*055ce*,,,,
Cristopher Molina,LAA,SP,*050y2*,,,,
Derek Molina,MIN,P,*04en4*,,,,
Kyle Molnar,STL,P,*03r0c*,,,,
Randel Mondesi,CHW,OF,*05yey*,,,,
Roberto Monegro,SF,SS,*063g5*,,,,
Travis Moniot,CHW,"2B,SS",*04pzo*,,,,
Caden Monke,KC,SP,*05yo2*,,,,
Craig Monroe,PIT,OF,*000dh*,,,,
Adrian Montero,TOR,2B,*05rk2*,,,,
Brandon Montgomery,LAD,2B,*048tv*,,,,
Gerson Montilla,ARI,2B,*0381m*,,,,
Logan Moon,KC,OF,*03dfb*,,,,
Adam Moore,(N/A),C,*01ciy*,,,,
Tyler Moore,NYM,"C,2B",*03fpo*,,,,
Xavier Moore,TEX,P,*04epb*,,,,
Angelo Mora,PHI,2B,*03mxe*,,,,
Edison Mora,SF,SS,*04psk*,,,,
Javier Mora,CHW,2B,*066o4*,,,,
Luis Mora,ATL,SP,*03ywt*,,,,
Angel Morales,MIN,OF,*01sgf*,,,,
Daje Morales,PIT,2B,*061zs*,,,,
Spencer Moran,TB,P,*03dj2*,,,,
Aneudis Mordan,(N/A),1B,*060ou*,,,,
Darien Morejon,(N/A),SP,*05vyp*,,,,
Emmy Morel,TEX,SP,*05ilq*,,,,
Cesari Moreno,ATL,RP,*04z53*,,,,
Luis Moreno,SF,SP,*04zb0*,,,,
Joey Morgan,DET,C,*04efw*,,,,
Matt Morgan,TOR,C,*03dbi*,,,,
Sergio Morillo,CLE,SP,*05rzw*,,,,
Ramon Morla,SEA,3B,*027d0*,,,,
Nick Morreale,SF,RP,*051aq*,,,,
Ty Morrison,TB,OF,*01tj1*,,,,
Brandon Morrow,(N/A),RP,*000e3*,,,,
Brandon Moss,(N/A),1B,*000bi*,,,,
Dean Moss,(N/A),OF,*05y9c*,,,,
Jorgelys Mota,WSH,3B,*064wd*,,,,
Jason Motte,(N/A),RP,*013vu*,,,,
Ever Moya,COL,RP,*05r4a*,,,,
Jose Mujica,(N/A),RP,*02ni3*,,,,
Matt Mullenbach,MIN,SP,*063vx*,,,,
Chase Mullins,ATL,P,*02ndm*,,,,
Hayden Mullins,(N/A),SP,*05uc2*,,,,
Anthony Mulrine,LAA,C,*05rcc*,,,,
Felix Munoz,MIA,1B,*03eq4*,,,,
Jose Munoz,ARI,SS,*02mwu*,,,,
Shane Muntz,ARI,1B,*061yg*,,,,
Alex Murphy,BAL,C,*031bq*,,,,
Hayden Murphy,(N/A),SP,*05ydj*,,,,
Jimmy Murphy,BAL,P,*04eje*,,,,
Irvin Murr III,SF,3B,*05ynt*,,,,
Joe Nahas,CHC,RP,*05t29*,,,,
Sho Nakata,(N/A),3B,*03auz*,,,,
Joe Nathan,(N/A),RP,*000aj*,,,,
Christopher Navarro,COL,SS,*03zxk*,,,,
Diego Navarro,(N/A),SP,*05xnu*,,,,
Andrew Navigato,DET,"3B,SS",*051fb*,,,,
Mitch Nay,(N/A),3B,*02mvw*,,,,
Brady Neal,(N/A),C,*05u37*,,,,
Dylan Nedved,SD,SP,*066cr*,,,,
Brett Netzer,(N/A),2B,*04efy*,,,,
Dylan Neuse,MIN,OF,*060wo*,,,,
Dovydas Neverauskas,(N/A),RP,*0440d*,,,,
Gift Ngoepe,PIT,2B,*021v7*,,,,
Kaylan Nicasia,MIL,SS,*05y48*,,,,
Francisco Nina,MIL,OF,*064rz*,,,,
Tanner Nishioka,BOS,2B,*04gdy*,,,,
Brayan Nolasco,HOU,OF,*05xuk*,,,,
Ricky Nolasco,(N/A),SP,*000ji*,,,,
Franyer Noria,BOS,3B,*064oy*,,,,
John Norwood,TOR,OF,*02bzt*,,,,
Brayant Nova,CHW,SP,*048tt*,,,,
Alberoni Nunez,MIN,OF,*04nb0*,,,,
Andres Nunez,KC,SP,*0630q*,,,,
Eduardo Nunez,(N/A),2B,*01tl2*,,,,
Oddy Nunez,PIT,P,*04mlz*,,,,
Chris O'Grady,(N/A),RP,*02n2s*,,,,
Jamal O'Guinn,(N/A),1B,*05jpz*,,,,
Ryan O'Malley,CHW,P,*005ha*,,,,
Conner O'Neil,NYM,P,*04ei6*,,,,
Mike O'Reilly,STL,SP,*04ggf*,,,,
Wilmer Oberto,PHI,1B,*03db5*,,,,
Carlos Ocampo,NYM,SP,*060vx*,,,,
Jeffri Ocando,COL,SP,*04asc*,,,,
Ryan Och,SD,SP,*05yfv*,,,,
Nelvis Ochoa,COL,SP,*05yem*,,,,
Aaron Ochsenbein,LAD,P,*0514t*,,,,
Tomo Ohka,BAL,SP,*000sp*,,,,
Christopher Oliver,PHI,P,*03db9*,,,,
Deyni Olivero,ARI,SP,*0526d*,,,,
Jon Olsen,MIN,SP,*04pw4*,,,,
Juan Oramas,TOR,SP,*01vjd*,,,,
Jio Orozco,(N/A),SP,*03qrw*,,,,
Lee Orr,SD,OF,*02c0h*,,,,
Jonathan Ortega,BOS,"2B,SS",*04q1r*,,,,
German Ortiz,(N/A),SS,*062z9*,,,,
Felix Osorio,LAD,OF,*03mmh*,,,,
Jose Osuna,(N/A),"1B,3B",*02i55*,,,,
Travis Ott,TB,P,*0319w*,,,,
Lyle Overbay,(N/A),1B,*000g8*,,,,
Eduardo Oviedo,PIT,OF,*06203*,,,,
Harry Owen,ATL,C,*0664e*,,,,
Noah Owen,CHW,SP,*060qc*,,,,
Rudy Owens,COL,SP,*01fib*,,,,
Ian Oxnevad,STL,P,*03qnn*,,,,
Liam PETERSON,(N/A),SP,*05yc4*,,,,
Owen Paino,(N/A),SS,*060mi*,,,,
Davis Palermo,COL,SP,*0649g*,,,,
Preston Palmeiro,LAA,1B,*041t7*,,,,
Jonathan Papelbon,(N/A),RP,*000bq*,,,,
Eduardo Paredes,(N/A),RP,*03mge*,,,,
Kyle Parker,CIN,OF,*025ir*,,,,
Bobby Parnell,(N/A),RP,*013ut*,,,,
Jordan Paroubeck,SD,OF,*0315z*,,,,
Angel Parra,(N/A),OF,*05y6j*,,,,
Franklin Parra,(N/A),SP,*04pvj*,,,,
Nixon Parra,(N/A),SP,*05y6c*,,,,
Manuel Partida,SD,RP,*04mmt*,,,,
Beyker Pastran,MIL,SS,*057cs*,,,,
Christopher Paul,MIN,OF,*03qm1*,,,,
Leon Paulino,BOS,OF,*051i5*,,,,
Karell Paz,(N/A),OF,*061v4*,,,,
Greg Peavey,NYM,SP,*025fd*,,,,
Jake Peavy,(N/A),SP,*000py*,,,,
Francys Peguero,WSH,RP,*04aw4*,,,,
Martin Esteilon Peguero,SEA,SS,*025h8*,,,,
Tyler Peitzmeier,CHC,P,*03qo8*,,,,
Daniel Pena,MIN,C,*066ry*,,,,
Felix Pena,(N/A),RP,*03rea*,,,,
Javier Pena,LAD,C,*064rw*,,,,
Luis Pena,LAA,SP,*04loh*,,,,
Malvin Pena,WSH,SP,*04yj6*,,,,
Ricardo Pena,MIN,C,*066oo*,,,,
Josh Pennington,MIL,SP,*03i7q*,,,,
Axcel Peralta,SD,OF,*04z96*,,,,
Hunter Perdue,MIA,RP,*05yde*,,,,
Andrew Perez,CHW,SP,*05rcz*,,,,
Arvicent Perez,DET,C,*03moq*,,,,
Carlos Perez,(N/A),C,*05jq5*,,,,
Doilin Perez,COL,SP,*064ox*,,,,
Doimil Perez,(N/A),SP,*05y6m*,,,,
Fernando Perez,(N/A),3B,*02q82*,,,,
Luis Perez,(N/A),OF,*05yhz*,,,,
Marlon Perez,WSH,RP,*064qa*,,,,
Mayky Perez,SD,SP,*0322j*,,,,
Oliver Perez,(N/A),RP,*000qy*,,,,
Railin Perez,BOS,RP,*060vw*,,,,
Ramon Perez,SD,RP,*04as3*,,,,
Samuel Perez,MIN,RP,*060w1*,,,,
Wilmer Perez,WSH,C,*04n94*,,,,
Yunior Perez,CHC,SP,*042b1*,,,,
Kendrick Perkins,BOS,OF,*025dz*,,,,
Andrew Peters,LAA,P,*051gi*,,,,
Zach Petrick,STL,RP,*0319x*,,,,
Zion Pettigrew,WSH,3B,*0669j*,,,,
Jake Pfennigs,OAK,SP,*065nq*,,,,
Roman Phansalkar,LAA,SP,*065jh*,,,,
Josh Phegley,(N/A),C,*01fd7*,,,,
Dane Phillips,SD,C,*02mxc*,,,,
Zach Phillips,STL,RP,*01viw*,,,,
Louis Pierre,NYY,OF,*06204*,,,,
Nicolas Pierre,MIL,OF,*03bai*,,,,
Yonathan Pierre,TB,OF,*05rl3*,,,,
Guillermo Pimentel,SEA,OF,*025j7*,,,,
Gleyvin Pineda,(N/A),3B,*05x7h*,,,,
Luis Pineda,CHW,C,*066o3*,,,,
Ivan Pineyro,WSH,SP,*02zod*,,,,
Aaron Pinto,CLE,P,*04q6m*,,,,
Luis Pintor,MIA,"2B,SS",*0423s*,,,,
Kenny Piper,TB,C,*05y6t*,,,,
Jonathan Piron,COL,2B,*03mx2*,,,,
Cameron Planck,NYM,P,*0429n*,,,,
Robbie Podorsky,SD,OF,*04evq*,,,,
Tito Polo,CHW,OF,*03fhy*,,,,
Rainer Polonius,TB,SS,*04ye5*,,,,
Bryan Pope,STL,SP,*0626s*,,,,
Brandon Poulson,MIN,RP,*03i7z*,,,,
Boog Powell,(N/A),OF,*02nae*,,,,
Miguel Pozo,NYY,SP,*060qs*,,,,
Cooper Pratt,(N/A),SS,*067xj*,,,,
Josh Prevost,NYM,P,*03dej*,,,,
Patrick Pridgen,DET,SP,*065v9*,,,,
Jordan Pries,CHC,SP,*03cbc*,,,,
Correlle Prime,COL,1B,*02n43*,,,,
Christopher Proctor,DET,C,*04pwy*,,,,
Reggie Pruitt,(N/A),OF,*03qzi*,,,,
Cesar Puello,(N/A),OF,*01sro*,,,,
Alfred Pujols,NYY,3B,*0406p*,,,,
Henry Pujols,CLE,3B,*03zbo*,,,,
Andrew Pullin,PHI,OF,*02mzh*,,,,
Williams Perez,(N/A),SP,*03dk1*,,,,
Kevin Quackenbush,(N/A),RP,*02bwb*,,,,
Jose Quero,DET,1B,*049j5*,,,,
Edwin Quezada,SEA,RP,*04og7*,,,,
Yoanys Quiala,HOU,SP,*0403p*,,,,
Luis Quinones,TOR,SP,*05u31*,,,,
